    Year    ;Real GDP US$;Real GDP rate of growth;GDP rate of variation;Rate of growth as log difference;Rate of variation as the second difference;Government Debt to GDP US$;DIFF Log Governement Debt to GDP;Rate of variation as the second difference Gov Debt;Private Debt to GDP US$;DIFF Log Private Debt to GDP
1981;2.64E+11;0.2878;-0.2357;0.2529;-0.1681;0.0206;0.0901;-0.3694;0.0186;0.0267
1982;1.85E+11;-0.2992;-0.587;-0.3556;-0.6085;0.0386;0.6293;0.5392;0.0157;-0.1719
1983;1.56E+11;-0.1568;0.1425;-0.1705;0.1851;0.0376;-0.0261;-0.6554;0.0127;-0.2076
1984;1.84E+11;0.1795;0.3362;0.1651;0.3356;0.0313;-0.1814;-0.1553;0.0142;0.1092
1985;1.95E+11;0.0598;-0.1197;0.0581;-0.107;0.0381;0.1951;0.3765;0.0152;0.0667
1986;1.35E+11;-0.3077;-0.3675;-0.3677;-0.4258;0.0583;0.4259;0.2307;0.0186;0.2036
1987;1.48E+11;0.0963;0.404;0.0919;0.4597;0.063;0.077;-0.3489;0.0181;-0.0267
1988;1.82E+11;0.2297;0.1334;0.2068;0.1149;0.0345;-0.6014;-0.6784;0.0108;-0.5199
1989;2.21E+11;0.2143;-0.0154;0.1942;-0.0126;0.0303;-0.1317;0.4698;0.0137;0.2412
1990;2.61E+11;0.181;-0.0333;0.1664;-0.0278;0.0262;-0.1428;-0.0111;0.0142;0.0351
1991;3.13E+11;0.1992;0.0182;0.1817;0.0153;0.0209;-0.2276;-0.0848;0.0181;0.2436
1992;3.63E+11;0.1597;-0.0395;0.1482;-0.0335;0.0161;-0.26;-0.0324;0.0216;0.1733
1993;5.01E+11;0.3802;0.2204;0.3222;0.174;0.0128;-0.2337;0.0262;0.0211;-0.023
1994;5.28E+11;0.0539;-0.3263;0.0525;-0.2697;0.0183;0.3608;0.5945;0.0225;0.0674
1995;3.60E+11;-0.3182;-0.3721;-0.383;-0.4355;0.0193;0.052;-0.3088;0.0211;-0.0674
1996;4.11E+11;0.1417;0.4598;0.1325;0.5155;0.0201;0.0422;-0.0098;0.0176;-0.1777
1997;5.00E+11;0.2165;0.0749;0.196;0.0635;0.0186;-0.0763;-0.1185;0.0152;-0.1495
1998;5.27E+11;0.054;-0.1625;0.0526;-0.1434;0.0197;0.0566;0.1329;0.0147;-0.0328
1999;6.00E+11;0.1385;0.0845;0.1297;0.0771;0.0206;0.046;-0.0105;0.0123;-0.1823
2000;7.08E+11;0.18;0.0415;0.1655;0.0358;0.0196;-0.0539;-0.0999;0.0118;-0.0408
2001;7.57E+11;0.0692;-0.1108;0.0669;-0.0986;0.0195;-0.0019;0.0519;0.0118;0
2002;7.72E+11;0.0198;-0.0494;0.0196;-0.0473;0.0203;0.0376;0.0396;0.0118;0
2003;7.29E+11;-0.0557;-0.0755;-0.0573;-0.0769;0.0215;0.0609;0.0233;0.0118;0
2004;7.82E+11;0.0727;0.1284;0.0702;0.1275;0.0195;-0.1011;-0.162;0.0113;-0.0426
2005;8.77E+11;0.1215;0.0488;0.1147;0.0445;0.0185;-0.0526;0.0485;0.0113;0
2006;9.75E+11;0.1117;-0.0097;0.1059;-0.0087;0.0181;-0.0178;0.0348;0.0123;0.0834
2007;1.05E+12;0.0769;-0.0348;0.0741;-0.0318;0.0177;-0.0246;-0.0068;0.0132;0.077
2008;1.11E+12;0.0571;-0.0198;0.0556;-0.0185;0.0211;0.1764;0.201;0.0147;0.1054
2009;9.00E+11;-0.1892;-0.2463;-0.2097;-0.2653;0.0207;-0.022;-0.1983;0.0142;-0.0339
2010;1.06E+12;0.1778;0.367;0.1636;0.3733;0.02;-0.0347;-0.0128;0.0137;-0.0351
2011;1.18E+12;0.1132;-0.0646;0.1072;-0.0564;0.02;0.0009;0.0356;0.0147;0.069
2012;1.20E+12;0.0169;-0.0963;0.0168;-0.0904;0.0206;0.0308;0.0299;0.0152;0.0328
2013;1.27E+12;0.0583;0.0414;0.0567;0.0399;0.0221;0.0683;0.0375;0.0167;0.0924
2014;1.32E+12;0.0394;-0.019;0.0386;-0.0181;0.0234;0.0578;-0.0105;0.0172;0.029
2015;1.17E+12;-0.1136;-0.153;-0.1206;-0.1592;0.0254;0.0823;0.0246;0.0186;0.0822
2016;1.08E+12;-0.0769;0.0367;-0.08;0.0406;0.0267;0.0504;-0.0319;0.0196;0.0513
2017;1.16E+12;0.0741;0.151;0.0715;0.1515;0.0259;-0.0308;-0.0812;0.0201;0.0247
2018;1.22E+12;0.0517;-0.0223;0.0504;-0.021;0.0258;-0.0013;0.0295;0.0196;-0.0247
2019;1.27E+12;0.041;-0.0107;0.0402;-0.0103;0.0264;0.0222;0.0236;0.0196;0
